Video Number,Age of Child,Corpus Number,Machine Intelligence Answer,MIA_anger,MIA_contempt,MIA_disgust,MIA_fear,MIA_happiness,MIA_neutral,MIA_sadness,MIA_surprise,Kefan Answer,FaceID,bald,haircolor,Age according to Face API
42,4,42,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.947,
        ""neutral"": 0.052,
        ""sadness"": 0.0,
        ""surprise"": 0.0",0,0,0,0,0.947,0.052,0,0,Neutral,1fe7d957-a5dc-48ea-b456-512a8852bac8,0.03,brown,4
43,3,43,"        ""anger"": 0.001,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.005,
        ""happiness"": 0.015,
        ""neutral"": 0.349,
        ""sadness"": 0.007,
        ""surprise"": 0.622",0.001,0,0,0.005,0.015,0.349,0.007,0.622,Happiness,10167626-88aa-4160-8644-cd4376b8b12b,0.22,blond,3
44,6,44,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.998,
        ""neutral"": 0.0,
        ""sadness"": 0.001,
        ""surprise"": 0.001",0,0,0,0,0.998,0,0.001,0.001,Happiness,a602907a-f83a-4b5a-8091-6cf82186f352,0.02,blond,6
45,4,45,"        ""anger"": 0.0,
        ""contempt"": 0.001,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.345,
        ""neutral"": 0.654,
        ""sadness"": 0.0,
        ""surprise"": 0.0",0,0,0.654,0.345,0,0,0.001,0,Neutral,bd49097c-0671-4ad6-a36c-77409a962b24,0.04,red,4
46,3,46,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.991,
        ""neutral"": 0.009,
        ""sadness"": 0.0,
        ""surprise"": 0.0",0,0,0,0,9.991,0.009,0,0,Happiness,2a3faced-edd0-40ee-ac11-67787531aebc,0.07,brown,3
47,4,47,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.0,
        ""neutral"": 0.981,
        ""sadness"": 0.019,
        ""surprise"": 0.0",0,0,0,0,0,0.981,0.019,0,Neutral,58c327b7-3fd8-4813-ac06-98040c909d5e,0.09,brown,4
48,4,48,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.997,
        ""neutral"": 0.003,
        ""sadness"": 0.0,
        ""surprise"": 0.0",0,0,0,0,0.997,0.003,0,0,Neutral,88487948-b638-4d7c-8aba-098d8f02ed74,0.03,blond,4
49,3,49,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.001,
        ""happiness"": 0.001,
        ""neutral"": 0.953,
        ""sadness"": 0.005,
        ""surprise"": 0.039",0,0,0,0.001,0.001,0.953,0.005,0.039,Sadness,867dbea4-e823-433e-b8d7-77792c180e83,0.04,blond,3
50,3,50,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.0,
        ""neutral"": 0.991,
        ""sadness"": 0.007,
        ""surprise"": 0.002",0,0,0,0,0,0.991,0.007,0.002,Neutral,204f46cc-6d4b-43e1-b932-4c779f230b0a,0.12,blond,3
51,5,51,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.997,
        ""neutral"": 0.003,
        ""sadness"": 0.0,
        ""surprise"": 0.0",0,0,0,0,0.997,0.003,0,0,Happiness,ff74c410-df1d-4bcb-8d1a-6a681e5ded1e,0.04,brown,5
